"","Label","X0.10.","X10.20.","X20.30.","X30.40.","X40.50.","X50.60.","X60.70.","X70.80.","X80.90.","X90.100.","Cluster","Cor.RPL"
"226","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_142_910_3_15",0.92056481348685,0.936848111484158,0.967103625224187,0.992907160746432,1.0103615773707,1.00011064779361,0.933088199508905,0.790055034900347,0.562664805251268,0.283893305495707,2,-0.507560516188046
"227","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_271_623_1_14",0.953708567351213,0.918821470233039,0.911646260592947,0.909666540913405,0.892497150250222,0.841767170179214,0.741335173250445,0.586755583178516,0.382697668636364,0.149533556818946,1,-0.468704855889409
"228","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_388_919_2_14",0.950528141969062,0.912038403775119,0.946369419368467,0.986866129666603,1.00565316324968,0.976100591251038,0.869897576060933,0.681360448224209,0.425733623667478,0.132190671976191,2,-1.16303001950881
"229","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_401_445_1_14",0.950649591802532,0.996722522869038,0.999545635357403,0.986758846319503,0.962696570437467,0.904518090487221,0.793216001978762,0.629907165917525,0.422491934951539,0.191676674788131,2,-0.405762904579139
"230","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_576_540_1_14",0.789384183439784,0.944127184343554,0.997439850804466,0.994715388390133,0.943092561645675,0.840856820461856,0.692046873849343,0.516473107952865,0.332724026421874,0.14640655779374,2,-0.349931746494525
"231","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_773_568_1_14",0.918694454985064,0.915205474041654,0.955714295458676,0.995284498326147,0.993393573229909,0.930029009149395,0.798822355927969,0.613802332675579,0.396171815138893,0.163001685247603,2,-0.327786617242303
"232","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_823_288_0_14",0.985166391041277,0.98119347473115,0.977871833330485,0.969568329869242,0.941050117259754,0.876659533736657,0.765436991079536,0.610907369651471,0.421859797822887,0.214820595547269,1,-0.658969417859123
"233","11J1_CD4T_488Coro1A_555RPL10A_D002_16_nucleus_835_565_1_14",0.77813502077553,0.888244401382545,0.959713619045955,0.996507036063466,0.992039574297376,0.937478328810097,0.824606427819377,0.655069160324234,0.437904868693047,0.194100641437064,2,-0.851590467789218
"234","11J1_CD4T_488Coro1A_555RPL10A_D002_17_nucleus_245_666_2_14",0.861056032223187,0.947540327787617,0.969501851593914,0.936802390667248,0.868832886143292,0.772074022773845,0.648965187473935,0.501935407949178,0.334191737236516,0.154782723655243,2,-0.813971500943363
"235","11J1_CD4T_488Coro1A_555RPL10A_D002_17_nucleus_417_580_1_14",0.969313787963217,0.975242889244218,0.982088842535338,0.97554583957472,0.942627748292917,0.871388359076614,0.75449612036213,0.595517423826885,0.401886018656535,0.189869211233324,1,-0.568625160474057
